Id,start,end,para,name,timestamp,actor,type,text
26134474,159,160,OPT_ID_1162,opt2LRNiGo38sjcbYhouqqoAKB3BahY3sIR,1582184106659,au,clear-superscript,a
26134476,159,160,OPT_ID_1162,optWqP0ptAHRG0sb4Jl0WUASGQP8jW8CygC,1582184106679,au,clear-superscript,a
26134478,159,160,OPT_ID_1162,optubwpExH0C2aEXk1lv4Lt0Ax1ISYEzUTh,1582184106699,au,clear-superscript,a
26134480,159,160,OPT_ID_1162,optjzhs7w5eWSpY43UTjW10aGmws6lSXZgT,1582184106719,au,clear-superscript,a
26134482,159,160,OPT_ID_1162,optiyIU54om50syUh9t87Hzzw1OyzaIXWKQ,1582184106739,au,clear-superscript,a
26134484,159,160,OPT_ID_1162,optHFmkseYkoTQ9vd4VCxudwasR4g7cn3Ty,1582184106759,au,clear-superscript,a
26134486,159,160,OPT_ID_1162,opt3TEoZqXuI1Lg7KxHu0CXMcfv1Goxae3Q,1582184106779,au,clear-superscript,a
26134488,159,160,OPT_ID_1162,optMcd9hPPW0p5rtVyKavtmKnMEEBjwcQY2,1582184106799,au,clear-superscript,a
26134490,159,160,OPT_ID_1162,opt1MOJasGltQ0CpN99bk8o1kGEcoL0TOOY,1582184106819,au,clear-superscript,a
26134492,159,160,OPT_ID_1162,optvYLwES2BGvcbB6Gb6vHsRYnNdZFovT9X,1582184106839,au,clear-superscript,a
26134494,159,160,OPT_ID_1162,opt4wDdbKEczjzWPsL9zW0ms2aT7smoVFCF,1582184106859,au,clear-superscript,a
26134496,159,160,OPT_ID_1162,optfeW6jh6HcNaO1mXsuW5zD3sxx7cEKOIa,1582184106889,au,clear-superscript,a
26134498,159,160,OPT_ID_1162,optuJDRGom64VpFIlNi7PxJrl41KrmCpCQV,1582184106909,au,clear-superscript,a
26134501,159,160,OPT_ID_1162,optOyZIqe7xFJcNQnjATN5H0SFCuqlndCvo,1582184106969,au,clear-superscript,a
26134503,159,160,OPT_ID_1162,optEOrKYgZQgdQOTU7QIAyv1et2ex0k3kpi,1582184106989,au,clear-superscript,a
26134505,159,160,OPT_ID_1162,optXfGtegmYPVeCQqpZJYrt8sBLlFjzNmNu,1582184107009,au,clear-superscript,a
26134507,159,160,OPT_ID_1162,optZQHfatn6jKaV8mMQjGDHC1XPkrAIQjtp,1582184107039,au,clear-superscript,a
26134509,159,160,OPT_ID_1162,optHDE33JhzuWm36FRo9vOWq8r0cMjHsonm,1582184107059,au,clear-superscript,a
26134511,159,160,OPT_ID_1162,optdIL3uBJgO4PaDnupPo7Vtetk4q9MWQ3P,1582184107079,au,clear-superscript,a
26134513,159,160,OPT_ID_1162,optwlF5CXZPfH6k7RTGOS2OnkQbNt0oazAf,1582184107099,au,clear-superscript,a
26134515,159,160,OPT_ID_1162,opthiTLF6J6mdI2ljHyb62n2WbdnuUynd8X,1582184107119,au,clear-superscript,a
26134517,159,160,OPT_ID_1162,opt4sMj2r0Omc3UqYSOAVWOOborwZ7K7Tli,1582184107139,au,clear-superscript,a
26134519,159,160,OPT_ID_1162,optlZH5jcIHUc6byyfjd6kHGv4U9nxx5pfz,1582184107159,au,clear-superscript,a
26134521,159,160,OPT_ID_1162,optdGU5udVQYdmrPpWrGMVcwEdGAD0GAYrc,1582184107179,au,clear-superscript,a
26134523,159,160,OPT_ID_1162,optc1rl4SSNPbdzbKtNNiikY1OoFFgmZYoY,1582184107199,au,clear-superscript,a
26134525,159,160,OPT_ID_1162,optvgPcJv0ti7bK39nQVmitNeSNYAmgduay,1582184107219,au,clear-superscript,a
26134527,159,160,OPT_ID_1162,optSB9wMWq3uZR6KPrNsvelHlU56zOJP9Kk,1582184107239,au,clear-superscript,a
26134529,159,160,OPT_ID_1162,optF30ZhSo7Qf3iUHUi0KPfOn0Xu9OYtiuQ,1582184107259,au,clear-superscript,a
26134531,159,160,OPT_ID_1162,optqEorzAcMxt9yVVSxJIlGHwJf4C0ZrON5,1582184107279,au,clear-superscript,a
26134533,159,160,OPT_ID_1162,opthzD0qLPOObSjonlRCdjFuMRJkIgwoYbc,1582184107299,au,clear-superscript,a
26134535,159,160,OPT_ID_1162,optgLweH8bMIyMW73yw7rVgyUlmAHBzgABC,1582184107319,au,clear-superscript,a
26134537,159,160,OPT_ID_1162,optuR2aXJUgYJlIMWHMnjjK45ntBAGR7XY1,1582184107339,au,clear-superscript,a
26134539,159,160,OPT_ID_1162,optqnHh9r2AIWzbZFpsEwvF3dZNBiyrFaRy,1582184107359,au,clear-superscript,a
26134541,159,160,OPT_ID_1162,opt5VHTdZERuUhC94LdMIQJura1XwWP65NU,1582184107379,au,clear-superscript,a
26134543,159,160,OPT_ID_1162,optAUWat47SVCTXz6Pmwa8m5dpVLhii22ZT,1582184107399,au,clear-superscript,a
26134545,159,160,OPT_ID_1162,optDa2o5xx0CUPOT9LUgehuZGYs3Nwe1fZU,1582184107419,au,clear-superscript,a
26134991,159,160,OPT_ID_1162,optAWFSsMyeqXpVZpjcXG0GHwIMgidgQ1ZU,1582184107439,au,clear-superscript,a
26134993,159,160,OPT_ID_1162,optcBtyVDxqojS6W1RTUMeIYM9LtCkIKRGE,1582184107459,au,clear-superscript,a
26134995,159,160,OPT_ID_1162,optJCOz68ovadEj2OdcQdr5stuTCPRLclzC,1582184107479,au,clear-superscript,a
26134997,159,160,OPT_ID_1162,optoN88LW4PbNpapuCl4gTqw6HESWM6XoAS,1582184107499,au,clear-superscript,a
26134999,159,160,OPT_ID_1162,opt1oQpHvp63cRIdvEBlHNkeDNZq4M24SNC,1582184107519,au,clear-superscript,a
26135001,159,160,OPT_ID_1162,optSp9DwSmF5BN9fE6ckEiXKsvpojbrkOiZ,1582184107539,au,clear-superscript,a
26135003,159,160,OPT_ID_1162,optd1M8eEhFUHHMAoFR6MjGrPFGlllmSPCu,1582184107559,au,clear-superscript,a
26135005,159,160,OPT_ID_1162,optL0Nrcpr4vXAMJgNXtFkWa5AYqX9Hwo0v,1582184107579,au,clear-superscript,a
26135007,159,160,OPT_ID_1162,optoALN5KEh2mGW63bJYrsJPcVqdPIBZzHR,1582184107599,au,clear-superscript,a
